source_row_id,split,bad_credit_risk
uci144-row-0001,development,0
uci144-row-0002,test,1
uci144-row-0003,test,0
uci144-row-0004,development,0
uci144-row-0005,development,1
uci144-row-0006,development,0
uci144-row-0007,test,0
uci144-row-0008,development,0
uci144-row-0009,development,0
uci144-row-0010,development,1
uci144-row-0011,development,1
uci144-row-0012,test,1
uci144-row-0013,development,0
uci144-row-0014,test,1
uci144-row-0015,development,0
uci144-row-0016,development,1
uci144-row-0017,development,0
uci144-row-0018,development,0
uci144-row-0019,development,1
uci144-row-0020,development,0
uci144-row-0021,development,0
uci144-row-0022,test,0
uci144-row-0023,test,0
uci144-row-0024,development,0
uci144-row-0025,development,0
uci144-row-0026,development,0
uci144-row-0027,development,0
uci144-row-0028,development,0
uci144-row-0029,test,0
uci144-row-0030,development,1
uci144-row-0031,test,0
uci144-row-0032,development,0
uci144-row-0033,development,0
uci144-row-0034,development,0
uci144-row-0035,development,0
uci144-row-0036,development,1
uci144-row-0037,development,0
uci144-row-0038,development,1
uci144-row-0039,test,0
uci144-row-0040,development,0
uci144-row-0041,development,0
uci144-row-0042,development,0
uci144-row-0043,development,0
uci144-row-0044,test,0
uci144-row-0045,development,1
uci144-row-0046,development,0
uci144-row-0047,test,0
uci144-row-0048,test,0
uci144-row-0049,development,0
uci144-row-0050,development,0
uci144-row-0051,development,0
uci144-row-0052,development,0
uci144-row-0053,test,0
uci144-row-0054,development,0
uci144-row-0055,development,1
uci144-row-0056,development,0
uci144-row-0057,development,1
uci144-row-0058,development,0
uci144-row-0059,development,0
uci144-row-0060,development,1
uci144-row-0061,development,0
uci144-row-0062,development,0
uci144-row-0063,development,1
uci144-row-0064,development,1
uci144-row-0065,test,0
uci144-row-0066,development,0
uci144-row-0067,development,0
uci144-row-0068,development,0
uci144-row-0069,development,1
uci144-row-0070,development,0
uci144-row-0071,test,0
uci144-row-0072,development,0
uci144-row-0073,development,0
uci144-row-0074,development,0
uci144-row-0075,development,1
uci144-row-0076,development,0
uci144-row-0077,development,1
uci144-row-0078,development,0
uci144-row-0079,test,0
uci144-row-0080,development,0
uci144-row-0081,development,1
uci144-row-0082,development,0
uci144-row-0083,development,0
uci144-row-0084,test,0
uci144-row-0085,development,0
uci144-row-0086,test,0
uci144-row-0087,development,0
uci144-row-0088,development,1
uci144-row-0089,development,0
uci144-row-0090,test,1
uci144-row-0091,development,0
uci144-row-0092,development,0
uci144-row-0093,development,1
uci144-row-0094,development,0
uci144-row-0095,development,0
uci144-row-0096,development,1
uci144-row-0097,test,0
uci144-row-0098,development,0
uci144-row-0099,development,0
uci144-row-0100,development,0
uci144-row-0101,development,0
uci144-row-0102,development,0
uci144-row-0103,development,0
uci144-row-0104,development,0
uci144-row-0105,development,0
uci144-row-0106,development,1
uci144-row-0107,development,1
uci144-row-0108,test,0
uci144-row-0109,development,0
uci144-row-0110,development,0
uci144-row-0111,development,0
uci144-row-0112,development,0
uci144-row-0113,test,0
uci144-row-0114,development,1
uci144-row-0115,development,0
uci144-row-0116,test,0
uci144-row-0117,development,1
uci144-row-0118,development,0
uci144-row-0119,development,1
uci144-row-0120,development,0
uci144-row-0121,development,1
uci144-row-0122,development,0
uci144-row-0123,test,0
uci144-row-0124,development,0
uci144-row-0125,development,1
uci144-row-0126,development,0
uci144-row-0127,development,0
uci144-row-0128,development,1
uci144-row-0129,test,0
uci144-row-0130,test,1
uci144-row-0131,development,0
uci144-row-0132,development,1
uci144-row-0133,development,0
uci144-row-0134,test,0
uci144-row-0135,test,0
uci144-row-0136,development,0
uci144-row-0137,development,0
uci144-row-0138,development,1
uci144-row-0139,test,0
uci144-row-0140,development,0
uci144-row-0141,development,0
uci144-row-0142,test,0
uci144-row-0143,test,0
uci144-row-0144,development,1
uci144-row-0145,development,0
uci144-row-0146,development,0
uci144-row-0147,development,0
uci144-row-0148,development,0
uci144-row-0149,development,0
uci144-row-0150,development,0
uci144-row-0151,development,0
uci144-row-0152,development,0
uci144-row-0153,development,0
uci144-row-0154,development,0
uci144-row-0155,development,0
uci144-row-0156,development,1
uci144-row-0157,development,0
uci144-row-0158,development,0
uci144-row-0159,development,0
uci144-row-0160,test,0
uci144-row-0161,development,0
uci144-row-0162,development,0
uci144-row-0163,development,0
uci144-row-0164,development,0
uci144-row-0165,development,0
uci144-row-0166,development,0
uci144-row-0167,test,1
uci144-row-0168,test,0
uci144-row-0169,development,0
uci144-row-0170,development,1
uci144-row-0171,development,1
uci144-row-0172,test,0
uci144-row-0173,development,1
uci144-row-0174,development,0
uci144-row-0175,development,1
uci144-row-0176,development,1
uci144-row-0177,development,0
uci144-row-0178,development,0
uci144-row-0179,test,0
