model,fold,training_rows,validation_rows,validation_good_credit_risk,validation_bad_credit_risk,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,default_threshold_total_cost,default_threshold_average_cost
Dummy prior,1,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,2,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,3,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,4,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,5,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Logistic Regression,1,640,160,112,48,0.8178943452380952,0.690082227528697,0.631578947368421,0.5,0.5581395348837209,0.6875,0.151884598279369,0.7625,134,0.8375
Logistic Regression,2,640,160,112,48,0.7751116071428572,0.6207536007990344,0.6428571428571429,0.375,0.47368421052631576,0.6428571428571428,0.16878545703668446,0.75,160,1.0
Logistic Regression,3,640,160,112,48,0.8052455357142856,0.6108433903950863,0.627906976744186,0.5625,0.5934065934065934,0.7098214285714286,0.1611982904510681,0.76875,121,0.75625
Logistic Regression,4,640,160,112,48,0.7531622023809523,0.5285448784203144,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.6502976190476191,0.18116815651300175,0.71875,145,0.90625
Logistic Regression,5,640,160,112,48,0.7021949404761905,0.4672578003726965,0.4375,0.2916666666666667,0.35,0.5654761904761905,0.20196639881493272,0.675,188,1.175
