transformed_feature,source_feature,coefficient,odds_ratio_exp_coefficient,absolute_coefficient,direction_for_bad_credit_risk_score
nominal__purpose_A46,purpose,0.9393777465386711,2.5583889565395923,0.9393777465386711,higher
nominal__checking_account_status_A14,checking_account_status,-0.8894744216260778,0.4108716412633155,0.8894744216260778,lower
nominal__credit_history_A34,credit_history,-0.8103063857102992,0.44472178894611025,0.8103063857102992,lower
nominal__purpose_A41,purpose,-0.6999532299478866,0.4966085296550798,0.6999532299478866,lower
nominal__property_A124,property,0.6509479031400556,1.9173574370288222,0.6509479031400556,higher
nominal__savings_account_status_A61,savings_account_status,0.6469559518466128,1.909718696412363,0.6469559518466128,higher
nominal__checking_account_status_A11,checking_account_status,0.6054874169495726,1.8321450098168042,0.6054874169495726,higher
nominal__housing_A153,housing,-0.5979503238577843,0.549937675825261,0.5979503238577843,lower
nominal__housing_A151,housing,0.5920993870270322,1.807779663530162,0.5920993870270322,higher
nominal__purpose_A410,purpose,-0.568684503596298,0.5662698749245809,0.568684503596298,lower
nominal__credit_history_A30,credit_history,0.5660975097048283,1.7613798537779222,0.5660975097048283,higher
nominal__savings_account_status_A64,savings_account_status,-0.558188481726194,0.5722447573117302,0.558188481726194,lower
nominal__other_debtors_guarantors_A103,other_debtors_guarantors,-0.5209037637054237,0.5939834846025555,0.5209037637054237,lower
nominal__purpose_A40,purpose,0.44217369506641024,1.5560860014232851,0.44217369506641024,higher
nominal__savings_account_status_A65,savings_account_status,-0.44159559618587885,0.6430096184251435,0.44159559618587885,lower
nominal__other_installment_plans_A141,other_installment_plans,0.40364885019340946,1.4972780857252925,0.40364885019340946,higher
nominal__purpose_A45,purpose,0.3942915543223444,1.4833329577716337,0.3942915543223444,higher
nominal__other_installment_plans_A143,other_installment_plans,-0.3851862043171274,0.6803239451541105,0.3851862043171274,lower
nominal__property_A121,property,-0.34914436453553677,0.7052913038685695,0.34914436453553677,lower
numerical__installment_rate_percent,installment_rate_percent,0.339255695907295,1.4039022713878295,0.339255695907295,higher
numerical__duration_months,duration_months,0.3353204942793783,1.3983884889223432,0.3353204942793783,higher
nominal__other_debtors_guarantors_A102,other_debtors_guarantors,0.3337365712880495,1.3961753024650922,0.3337365712880495,higher
nominal__purpose_A48,purpose,-0.3335527224111511,0.7163741286729615,0.3335527224111511,lower
nominal__checking_account_status_A12,checking_account_status,0.3138712941218176,1.3687135637291803,0.3138712941218176,higher
nominal__savings_account_status_A62,savings_account_status,0.3072624073133167,1.3596977158878647,0.3072624073133167,higher
nominal__credit_history_A31,credit_history,0.2663983882765676,1.305254953391437,0.2663983882765676,higher
numerical__credit_amount,credit_amount,0.25497150468705676,1.2904248492890733,0.25497150468705676,higher
ordinal__employment_duration,employment_duration,-0.20225440355672125,0.8168870825258169,0.20225440355672125,lower
nominal__property_A122,property,-0.1899558039915151,0.826995683043919,0.1899558039915151,lower
nominal__telephone_A192,telephone,-0.18453331494419786,0.8314922383204477,0.18453331494419786,lower
nominal__purpose_A43,purpose,-0.18207095997264605,0.8335421901860959,0.18207095997264605,lower
nominal__other_debtors_guarantors_A101,other_debtors_guarantors,0.18176635022286425,1.1993339370330693,0.18176635022286425,higher
nominal__telephone_A191,telephone,0.17913247274967947,1.1961791948195022,0.17913247274967947,higher
nominal__property_A123,property,-0.11724857680751187,0.8893640903977332,0.11724857680751187,lower
nominal__credit_history_A33,credit_history,-0.10313227357400076,0.902007653814125,0.10313227357400076,lower
numerical__existing_credits_count,existing_credits_count,0.10247551391645557,1.1079101731966075,0.10247551391645557,higher
nominal__purpose_A42,purpose,0.09774305240915909,1.1026794178849086,0.09774305240915909,higher
nominal__purpose_A49,purpose,-0.08946832960354986,0.9144172246217473,0.08946832960354986,lower
nominal__credit_history_A32,credit_history,0.07554191910839518,1.0784684352057523,0.07554191910839518,higher
nominal__savings_account_status_A63,savings_account_status,0.0401648765576319,1.0409823936376061,0.0401648765576319,higher
numerical__dependents_count,dependents_count,0.03947591122331184,1.0402654398612614,0.03947591122331184,higher
nominal__checking_account_status_A13,checking_account_status,-0.03528513163982,0.9653301308499648,0.03528513163982,lower
numerical__residence_duration,residence_duration,0.025676623877613436,1.0260091079748168,0.025676623877613436,higher
ordinal__job,job,0.025130359959785756,1.0254487892746453,0.025130359959785756,higher
nominal__other_installment_plans_A142,other_installment_plans,-0.02386348807079644,0.9764189935008056,0.02386348807079644,lower
nominal__purpose_A44,purpose,-0.005257144999563425,0.9947566496032142,0.005257144999563425,lower
nominal__housing_A152,housing,0.00045009463624259805,1.0004501959440322,0.00045009463624259805,higher
