model,fold,training_rows,validation_rows,validation_good_credit_risk,validation_bad_credit_risk,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,default_threshold_total_cost,default_threshold_average_cost
Dummy prior,1,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,2,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,3,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,4,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Dummy prior,5,640,160,112,48,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,240,1.5
Logistic Regression,1,640,160,112,48,0.8138020833333333,0.6333203758264542,0.6571428571428571,0.4791666666666667,0.5542168674698795,0.6860119047619048,0.15664603791766243,0.76875,137,0.85625
Logistic Regression,2,640,160,112,48,0.7788318452380952,0.6255466934622015,0.6451612903225806,0.4166666666666667,0.5063291139240507,0.6592261904761905,0.16817287027078284,0.75625,151,0.94375
Logistic Regression,3,640,160,112,48,0.80078125,0.6085966400435969,0.5813953488372093,0.5208333333333334,0.5494505494505495,0.6800595238095238,0.1623581483509273,0.74375,133,0.83125
Logistic Regression,4,640,160,112,48,0.7451636904761906,0.554969281690745,0.5581395348837209,0.5,0.5274725274725275,0.6651785714285714,0.18400937351861862,0.73125,139,0.86875
Logistic Regression,5,640,160,112,48,0.6889880952380952,0.46152617838195614,0.4411764705882353,0.3125,0.36585365853658536,0.5714285714285714,0.2099003127643387,0.675,184,1.15
