transformed_feature,source_feature,coefficient,odds_ratio_exp_coefficient,absolute_coefficient,direction_for_bad_credit_risk_score
categorical__purpose_A46,purpose,0.92934516764886,2.5328500423011167,0.92934516764886,higher
categorical__checking_account_status_A14,checking_account_status,-0.9073854585382481,0.40357801729952864,0.9073854585382481,lower
categorical__credit_history_A34,credit_history,-0.8366651388700135,0.4331526213346951,0.8366651388700135,lower
categorical__purpose_A41,purpose,-0.769836541460247,0.4630887579371501,0.769836541460247,lower
categorical__savings_account_status_A61,savings_account_status,0.6632831676167888,1.9411550211076425,0.6632831676167888,higher
categorical__savings_account_status_A64,savings_account_status,-0.6350853372075068,0.5298902670323933,0.6350853372075068,lower
categorical__checking_account_status_A11,checking_account_status,0.6261834029266782,1.8704581538676992,0.6261834029266782,higher
categorical__property_A124,property,0.6192848511972029,1.8575991069324749,0.6192848511972029,higher
categorical__housing_A151,housing,0.6047802053132971,1.830849753610633,0.6047802053132971,higher
categorical__employment_duration_A74,employment_duration,-0.578755823114311,0.5605954127058483,0.578755823114311,lower
categorical__purpose_A410,purpose,-0.5758012905064438,0.5622541593363763,0.5758012905064438,lower
categorical__housing_A153,housing,-0.5715577589670036,0.5646451721758751,0.5715577589670036,lower
categorical__other_debtors_guarantors_A103,other_debtors_guarantors,-0.5059550629176949,0.6029294647860742,0.5059550629176949,lower
categorical__credit_history_A30,credit_history,0.5014463351684157,1.6511075995565372,0.5014463351684157,higher
categorical__purpose_A40,purpose,0.43291925389872876,1.5417517252334973,0.43291925389872876,higher
categorical__installment_rate_percent_4,installment_rate_percent,0.4235650252364814,1.5273970700896549,0.4235650252364814,higher
categorical__savings_account_status_A65,savings_account_status,-0.4234769798992399,0.6547662482779563,0.4234769798992399,lower
categorical__purpose_A45,purpose,0.41491148266012357,1.5142366985551097,0.41491148266012357,higher
categorical__employment_duration_A72,employment_duration,0.38993961609696665,1.4768916107102437,0.38993961609696665,higher
categorical__employment_duration_A71,employment_duration,0.38290529866040435,1.4665391402708243,0.38290529866040435,higher
categorical__installment_rate_percent_1,installment_rate_percent,-0.3827708007073488,0.6819691882302009,0.3827708007073488,lower
categorical__other_installment_plans_A143,other_installment_plans,-0.377556659693794,0.6855343583170523,0.377556659693794,lower
categorical__other_installment_plans_A141,other_installment_plans,0.3768849718126618,1.4577366189259553,0.3768849718126618,higher
numerical__duration_months,duration_months,0.35794873896387835,1.4303922952094366,0.35794873896387835,higher
categorical__credit_history_A31,credit_history,0.33708955991391426,1.4008645194263165,0.33708955991391426,higher
categorical__property_A121,property,-0.32615637103972506,0.7216923268283731,0.32615637103972506,lower
