model,bin,mean_predicted_bad_credit_risk_probability,observed_bad_credit_risk_rate
Logistic Regression,1,0.02370618621458654,0.075
Logistic Regression,2,0.05452356146669481,0.0125
Logistic Regression,3,0.08758028087645969,0.1125
Logistic Regression,4,0.1374082547454456,0.225
Logistic Regression,5,0.1972434689425015,0.275
Logistic Regression,6,0.2688242286200778,0.3
Logistic Regression,7,0.3633648465647231,0.3875
Logistic Regression,8,0.48044969726271025,0.45
Logistic Regression,9,0.6058151437318975,0.5
Logistic Regression,10,0.8022072295845424,0.6625
Random Forest,1,0.04559999999999999,0.023529411764705882
Random Forest,2,0.09442666666666663,0.04
Random Forest,3,0.14714285714285716,0.14285714285714285
Random Forest,4,0.2024303797468355,0.20253164556962025
Random Forest,5,0.25559493670886074,0.3037974683544304
Random Forest,6,0.3186153846153845,0.28205128205128205
Random Forest,7,0.3846829268292682,0.2804878048780488
Random Forest,8,0.445367088607595,0.46835443037974683
Random Forest,9,0.5208860759493672,0.569620253164557
Random Forest,10,0.6377999999999998,0.7
XGBoost,1,0.01509274652635213,0.05
XGBoost,2,0.0351812083274126,0.0625
XGBoost,3,0.06846673232503235,0.0875
XGBoost,4,0.11399047803133726,0.2125
XGBoost,5,0.17097258362919093,0.2
XGBoost,6,0.2519184909760952,0.3125
XGBoost,7,0.3486281052231789,0.375
XGBoost,8,0.48648964129388333,0.45
XGBoost,9,0.6404202744364739,0.5875
XGBoost,10,0.8186516426503658,0.6625
