transformed_feature,source_feature,importance,importance_rank
numerical__credit_amount,credit_amount,0.11223833980836453,1
numerical__duration_months,duration_months,0.0839250081634739,2
categorical__checking_account_status_A14,checking_account_status,0.051309383204246016,3
categorical__checking_account_status_A11,checking_account_status,0.03561365723762204,4
categorical__savings_account_status_A61,savings_account_status,0.023178360258043464,5
categorical__credit_history_A34,credit_history,0.02193858046096284,6
categorical__employment_duration_A72,employment_duration,0.019373115133713203,7
categorical__installment_rate_percent_4,installment_rate_percent,0.019172644270144906,8
categorical__checking_account_status_A12,checking_account_status,0.01915568939814272,9
categorical__purpose_A40,purpose,0.018113042739486978,10
categorical__property_A121,property,0.017963304240237087,11
categorical__other_installment_plans_A143,other_installment_plans,0.01786774073208045,12
categorical__property_A123,property,0.017217002271834484,13
categorical__purpose_A42,purpose,0.01711821186381281,14
categorical__job_A173,job,0.016450220298499553,15
categorical__housing_A152,housing,0.016373863598603402,16
categorical__other_installment_plans_A141,other_installment_plans,0.016306973657390565,17
categorical__residence_duration_2,residence_duration,0.016194994836845694,18
categorical__residence_duration_4,residence_duration,0.0160403771788367,19
categorical__credit_history_A32,credit_history,0.015251849459245072,20
categorical__telephone_A192,telephone,0.015076011347824275,21
categorical__employment_duration_A73,employment_duration,0.015044768729388402,22
categorical__installment_rate_percent_2,installment_rate_percent,0.014688683682310655,23
categorical__savings_account_status_A65,savings_account_status,0.014684520466210257,24
categorical__property_A124,property,0.014629576018320743,25
categorical__telephone_A191,telephone,0.014525276331664849,26
categorical__purpose_A43,purpose,0.01436991893546414,27
categorical__property_A122,property,0.01425051588223432,28
categorical__employment_duration_A75,employment_duration,0.013954773954972109,29
categorical__existing_credits_count_1,existing_credits_count,0.013794332499851658,30
categorical__residence_duration_1,residence_duration,0.013655709637065083,31
categorical__existing_credits_count_2,existing_credits_count,0.01364194860883469,32
categorical__housing_A151,housing,0.013139764513482786,33
categorical__job_A172,job,0.012959408217275087,34
categorical__job_A174,job,0.012561179522089417,35
categorical__installment_rate_percent_1,installment_rate_percent,0.012551505717757197,36
categorical__installment_rate_percent_3,installment_rate_percent,0.011980902643129671,37
categorical__employment_duration_A74,employment_duration,0.011577378932240751,38
categorical__dependents_count_2,dependents_count,0.011241293647977466,39
categorical__credit_history_A33,credit_history,0.011118953500886451,40
categorical__purpose_A46,purpose,0.01107959702848603,41
categorical__credit_history_A30,credit_history,0.0110198525370939,42
categorical__residence_duration_3,residence_duration,0.010641985617555026,43
categorical__dependents_count_1,dependents_count,0.010578725977869323,44
categorical__credit_history_A31,credit_history,0.010243490736367227,45
categorical__savings_account_status_A62,savings_account_status,0.009748687381658495,46
categorical__other_debtors_guarantors_A101,other_debtors_guarantors,0.008863214926295361,47
categorical__purpose_A41,purpose,0.008820968849851637,48
categorical__purpose_A49,purpose,0.008476285277960608,49
categorical__employment_duration_A71,employment_duration,0.008165651504396621,50
categorical__checking_account_status_A13,checking_account_status,0.0073435331078378786,51
categorical__other_debtors_guarantors_A103,other_debtors_guarantors,0.007335445371339016,52
categorical__other_debtors_guarantors_A102,other_debtors_guarantors,0.007239601919998451,53
categorical__other_installment_plans_A142,other_installment_plans,0.007171670783842063,54
categorical__housing_A153,housing,0.006957739346027346,55
categorical__savings_account_status_A63,savings_account_status,0.0058547657675994125,56
categorical__savings_account_status_A64,savings_account_status,0.005297556349784234,57
categorical__purpose_A45,purpose,0.00497242462802321,58
categorical__job_A171,job,0.002760952568357002,59
categorical__existing_credits_count_3,existing_credits_count,0.002614089827766461,60
categorical__purpose_A44,purpose,0.0021039102419502078,61
categorical__purpose_A48,purpose,0.0011543374963732438,62
categorical__purpose_A410,purpose,0.0008809562732101731,63
categorical__existing_credits_count_4,existing_credits_count,0.00042577487979077617,64
