transformed_feature,source_feature,importance,importance_rank
categorical__checking_account_status_A14,checking_account_status,0.069618359208107,1
categorical__savings_account_status_A61,savings_account_status,0.032249242067337036,2
categorical__property_A121,property,0.027852606028318405,3
categorical__checking_account_status_A11,checking_account_status,0.026594212278723717,4
categorical__credit_history_A34,credit_history,0.026593901216983795,5
categorical__dependents_count_2,dependents_count,0.026182683184742928,6
categorical__other_installment_plans_A141,other_installment_plans,0.023984786123037338,7
numerical__duration_months,duration_months,0.023526465520262718,8
categorical__savings_account_status_A65,savings_account_status,0.02225336804986,9
categorical__credit_history_A31,credit_history,0.02100735530257225,10
categorical__property_A124,property,0.020482955500483513,11
categorical__other_installment_plans_A143,other_installment_plans,0.020245715975761414,12
categorical__other_debtors_guarantors_A101,other_debtors_guarantors,0.019973885267972946,13
categorical__purpose_A46,purpose,0.01955847069621086,14
categorical__purpose_A41,purpose,0.019557824358344078,15
categorical__other_installment_plans_A142,other_installment_plans,0.01952240988612175,16
categorical__employment_duration_A72,employment_duration,0.019191160798072815,17
categorical__credit_history_A30,credit_history,0.01839001290500164,18
categorical__purpose_A40,purpose,0.018319034948945045,19
categorical__installment_rate_percent_2,installment_rate_percent,0.018206244334578514,20
categorical__other_debtors_guarantors_A103,other_debtors_guarantors,0.017849206924438477,21
categorical__checking_account_status_A12,checking_account_status,0.017458422109484673,22
categorical__credit_history_A33,credit_history,0.017115522176027298,23
categorical__telephone_A191,telephone,0.016699498519301414,24
categorical__housing_A151,housing,0.016679299995303154,25
categorical__employment_duration_A71,employment_duration,0.0166354738175869,26
categorical__purpose_A43,purpose,0.016503505408763885,27
numerical__credit_amount,credit_amount,0.015721123665571213,28
categorical__installment_rate_percent_4,installment_rate_percent,0.01563134603202343,29
categorical__job_A173,job,0.015269421972334385,30
categorical__job_A174,job,0.014947867020964622,31
categorical__residence_duration_1,residence_duration,0.0143624572083354,32
categorical__checking_account_status_A13,checking_account_status,0.014237076975405216,33
categorical__dependents_count_1,dependents_count,0.013638215139508247,34
categorical__existing_credits_count_2,existing_credits_count,0.013614188879728317,35
categorical__employment_duration_A74,employment_duration,0.013588198460638523,36
categorical__residence_duration_3,residence_duration,0.013466665521264076,37
categorical__savings_account_status_A64,savings_account_status,0.013421849347651005,38
categorical__housing_A153,housing,0.013331918977200985,39
categorical__housing_A152,housing,0.013305390253663063,40
categorical__savings_account_status_A62,savings_account_status,0.013303264044225216,41
categorical__purpose_A42,purpose,0.012708870694041252,42
categorical__existing_credits_count_1,existing_credits_count,0.0124307069927454,43
categorical__property_A123,property,0.012381813488900661,44
categorical__other_debtors_guarantors_A102,other_debtors_guarantors,0.012140939012169838,45
categorical__employment_duration_A75,employment_duration,0.012043863534927368,46
categorical__installment_rate_percent_3,installment_rate_percent,0.011244550347328186,47
categorical__residence_duration_2,residence_duration,0.01120038516819477,48
categorical__residence_duration_4,residence_duration,0.010759653523564339,49
categorical__job_A172,job,0.010486537590622902,50
categorical__property_A122,property,0.010452114045619965,51
categorical__savings_account_status_A63,savings_account_status,0.010161729529500008,52
categorical__telephone_A192,telephone,0.009584260173141956,53
categorical__credit_history_A32,credit_history,0.00891111046075821,54
categorical__installment_rate_percent_1,installment_rate_percent,0.00882430374622345,55
categorical__purpose_A45,purpose,0.008599449880421162,56
categorical__employment_duration_A73,employment_duration,0.008272329345345497,57
categorical__purpose_A49,purpose,0.008143441751599312,58
categorical__existing_credits_count_3,existing_credits_count,0.006152141373604536,59
categorical__job_A171,job,0.005411092191934586,60
categorical__purpose_A48,purpose,0.0,61
categorical__purpose_A44,purpose,0.0,62
categorical__purpose_A410,purpose,0.0,63
categorical__existing_credits_count_4,existing_credits_count,0.0,64
