model,metric,fold_mean,fold_std
Logistic Regression,roc_auc,0.7655133928571429,0.0500580465855769
Logistic Regression,average_precision,0.5767918338809908,0.07132049706084267
Logistic Regression,precision_bad_credit_risk,0.5766031003549207,0.08644524102067427
Logistic Regression,recall_bad_credit_risk,0.4458333333333334,0.0841109551591098
Logistic Regression,f1_bad_credit_risk,0.5006645433707184,0.07773778979132563
Logistic Regression,balanced_accuracy,0.6523809523809524,0.0465324311478143
Logistic Regression,brier_score,0.17621734856038324,0.021418946004908266
Logistic Regression,accuracy,0.735,0.03633610463437158
Logistic Regression,default_threshold_total_cost,148.8,20.78942038634074
Logistic Regression,default_threshold_average_cost,0.9299999999999999,0.12993387741462958
Random Forest,roc_auc,0.7789248511904762,0.02405026749950533
Random Forest,average_precision,0.5986144178787496,0.07277949909383306
Random Forest,precision_bad_credit_risk,0.6436518017443684,0.11939682949051823
Random Forest,recall_bad_credit_risk,0.37916666666666665,0.1361359104392045
Random Forest,f1_bad_credit_risk,0.4692916677510065,0.1400165322665506
Random Forest,balanced_accuracy,0.6467261904761904,0.06254958350641031
Random Forest,brier_score,0.16891625999999998,0.009070785970538203
Random Forest,accuracy,0.7537499999999999,0.036869703009381576
Random Forest,default_threshold_total_cost,158.6,31.22178726466504
Random Forest,default_threshold_average_cost,0.99125,0.1951361704041565
XGBoost,roc_auc,0.7836309523809524,0.03758071206197164
XGBoost,average_precision,0.5961383454078314,0.07726758133033346
XGBoost,precision_bad_credit_risk,0.6066115923246527,0.08079181291725862
XGBoost,recall_bad_credit_risk,0.48749999999999993,0.12022115038544588
XGBoost,f1_bad_credit_risk,0.5377034747233032,0.10283174700109024
XGBoost,balanced_accuracy,0.6776785714285714,0.05981698633115429
XGBoost,brier_score,0.17087400994305718,0.018601671336571573
XGBoost,accuracy,0.7537499999999999,0.037395688254128985
XGBoost,default_threshold_total_cost,137.8,28.674030062061384
XGBoost,default_threshold_average_cost,0.8612500000000001,0.1792126878878837
