model,fold,training_rows,validation_rows,validation_good_credit_risk,validation_bad_credit_risk,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,default_threshold_total_cost,default_threshold_average_cost,training_roc_auc,training_average_precision,training_precision_bad_credit_risk,training_recall_bad_credit_risk,training_f1_bad_credit_risk,training_balanced_accuracy,training_brier_score,training_accuracy
Logistic Regression,1,640,160,112,48,0.8138020833333333,0.6333203758264542,0.6571428571428571,0.4791666666666667,0.5542168674698795,0.6860119047619048,0.15664603791756027,0.76875,137,0.85625,,,,,,,,
Logistic Regression,2,640,160,112,48,0.7788318452380952,0.6255466934622015,0.6451612903225806,0.4166666666666667,0.5063291139240507,0.6592261904761905,0.16817287027077363,0.75625,151,0.94375,,,,,,,,
Logistic Regression,3,640,160,112,48,0.80078125,0.6085966400435969,0.5813953488372093,0.5208333333333334,0.5494505494505495,0.6800595238095238,0.16235814835160164,0.74375,133,0.83125,,,,,,,,
Logistic Regression,4,640,160,112,48,0.7451636904761906,0.554969281690745,0.5581395348837209,0.5,0.5274725274725275,0.6651785714285714,0.18400937349764307,0.73125,139,0.86875,,,,,,,,
Logistic Regression,5,640,160,112,48,0.6889880952380952,0.46152617838195614,0.4411764705882353,0.3125,0.36585365853658536,0.5714285714285714,0.20990031276433738,0.675,184,1.15,,,,,,,,
Random Forest,1,640,160,112,48,0.7622767857142857,0.6195784189632848,0.6774193548387096,0.4375,0.5316455696202531,0.6741071428571428,0.172185525,0.76875,145,0.90625,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.0229546125,1.0
Random Forest,2,640,160,112,48,0.7992001488095238,0.6793219429154335,0.782608695652174,0.375,0.5070422535211268,0.6651785714285714,0.16097355000000002,0.78125,155,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,0.0232486,1.0
Random Forest,3,640,160,112,48,0.8074776785714286,0.6435567955844714,0.696969696969697,0.4791666666666667,0.5679012345679012,0.6949404761904762,0.1590354,0.78125,135,0.84375,1.0,1.0,1.0,1.0,1.0,1.0,0.023760112500000003,1.0
Random Forest,4,640,160,112,48,0.7749255952380952,0.5523869074555146,0.5945945945945946,0.4583333333333333,0.5176470588235295,0.6622023809523809,0.171104375,0.74375,145,0.90625,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,0.02215409375,1.0
Random Forest,5,640,160,112,48,0.7507440476190476,0.49822802447504383,0.4666666666666667,0.14583333333333334,0.2222222222222222,0.5372023809523809,0.18128245000000004,0.69375,213,1.33125,1.0,1.0,1.0,1.0,1.0,1.0,0.022450075000000003,1.0
XGBoost,1,640,160,112,48,0.8188244047619048,0.6604704845855591,0.6304347826086957,0.6041666666666666,0.6170212765957447,0.7261904761904762,0.1549481156904069,0.775,112,0.7,0.9714820498511904,0.946242490405118,0.9375,0.78125,0.8522727272727273,0.8794642857142857,0.07412921852830957,0.91875
XGBoost,2,640,160,112,48,0.7853422619047619,0.633323372488885,0.6764705882352942,0.4791666666666667,0.5609756097560976,0.6904761904761905,0.1657296686105248,0.775,136,0.85,0.9726213727678572,0.949983801952771,0.9408284023668639,0.828125,0.8808864265927978,0.9029017857142857,0.07280650857764183,0.9328125
XGBoost,3,640,160,112,48,0.8139880952380953,0.6458960426544416,0.627906976744186,0.5625,0.5934065934065934,0.7098214285714286,0.15740768455053566,0.76875,121,0.75625,0.9706914992559523,0.9411777053171677,0.9161676646706587,0.796875,0.8523676880222841,0.8828125,0.07480846899769175,0.9171875
XGBoost,4,640,160,112,48,0.7747395833333334,0.5676278461289606,0.631578947368421,0.5,0.5581395348837209,0.6875,0.17537002734147583,0.7625,134,0.8375,0.9711681547619049,0.9485583198447598,0.927710843373494,0.8020833333333334,0.8603351955307262,0.8876488095238095,0.07335321507116234,0.921875
XGBoost,5,640,160,112,48,0.7252604166666667,0.4733739811813111,0.4666666666666667,0.2916666666666667,0.358974358974359,0.5744047619047619,0.20091455352234283,0.6875,186,1.1625,0.981015159970238,0.9628155219344255,0.930635838150289,0.8385416666666666,0.8821917808219178,0.9058779761904762,0.06522953580849308,0.9328125
