hyperparameter,selected_value,selection_count,selection_proportion
colsample_bytree,0.8,3,0.6
colsample_bytree,0.9,1,0.2
colsample_bytree,1.0,1,0.2
gamma,0.0,2,0.4
gamma,1.0,2,0.4
gamma,0.25,1,0.2
learning_rate,0.03,4,0.8
learning_rate,0.08,1,0.2
max_depth,5.0,3,0.6
max_depth,2.0,1,0.2
max_depth,3.0,1,0.2
min_child_weight,3.0,5,1.0
n_estimators,350.0,2,0.4
n_estimators,700.0,2,0.4
n_estimators,250.0,1,0.2
reg_alpha,0.01,4,0.8
reg_alpha,0.1,1,0.2
reg_lambda,10.0,3,0.6
reg_lambda,5.0,2,0.4
subsample,0.7,3,0.6
subsample,0.8,1,0.2
subsample,1.0,1,0.2
