source_row_id,fold
uci144-row-0001,5
uci144-row-0004,4
uci144-row-0005,3
uci144-row-0006,2
uci144-row-0008,1
uci144-row-0009,3
uci144-row-0010,1
uci144-row-0011,3
uci144-row-0013,2
uci144-row-0015,3
uci144-row-0016,5
uci144-row-0017,3
uci144-row-0018,1
uci144-row-0019,3
uci144-row-0020,5
uci144-row-0021,4
uci144-row-0024,5
uci144-row-0025,2
uci144-row-0026,1
uci144-row-0027,3
uci144-row-0028,2
uci144-row-0030,4
uci144-row-0032,5
uci144-row-0033,2
uci144-row-0034,2
uci144-row-0035,2
uci144-row-0036,3
uci144-row-0037,4
uci144-row-0038,2
uci144-row-0040,1
uci144-row-0041,5
uci144-row-0042,5
uci144-row-0043,3
uci144-row-0045,4
uci144-row-0046,4
uci144-row-0049,1
uci144-row-0050,3
uci144-row-0051,1
uci144-row-0052,4
uci144-row-0054,5
uci144-row-0055,2
uci144-row-0056,1
uci144-row-0057,2
uci144-row-0058,1
uci144-row-0059,2
uci144-row-0060,4
uci144-row-0061,4
uci144-row-0062,3
uci144-row-0063,4
uci144-row-0064,2
uci144-row-0066,5
uci144-row-0067,4
uci144-row-0068,1
uci144-row-0069,5
uci144-row-0070,5
uci144-row-0072,5
uci144-row-0073,1
uci144-row-0074,2
uci144-row-0075,5
uci144-row-0076,2
uci144-row-0077,3
uci144-row-0078,4
uci144-row-0080,5
uci144-row-0081,5
uci144-row-0082,3
uci144-row-0083,1
uci144-row-0085,1
uci144-row-0087,1
uci144-row-0088,1
uci144-row-0089,1
uci144-row-0091,1
uci144-row-0092,5
uci144-row-0093,5
uci144-row-0094,3
uci144-row-0095,2
uci144-row-0096,3
uci144-row-0098,2
uci144-row-0099,5
uci144-row-0100,1
uci144-row-0101,4
uci144-row-0102,5
uci144-row-0103,5
uci144-row-0104,5
uci144-row-0105,3
uci144-row-0106,5
uci144-row-0107,4
uci144-row-0109,3
uci144-row-0110,5
uci144-row-0111,3
uci144-row-0112,3
uci144-row-0114,4
uci144-row-0115,1
uci144-row-0117,1
uci144-row-0118,4
uci144-row-0119,2
uci144-row-0120,1
uci144-row-0121,2
uci144-row-0122,2
uci144-row-0124,2
uci144-row-0125,4
uci144-row-0126,2
uci144-row-0127,3
uci144-row-0128,4
uci144-row-0131,4
uci144-row-0132,3
uci144-row-0133,5
uci144-row-0136,1
uci144-row-0137,1
uci144-row-0138,5
uci144-row-0140,2
uci144-row-0141,5
uci144-row-0144,1
uci144-row-0145,3
uci144-row-0146,3
uci144-row-0147,2
uci144-row-0148,1
uci144-row-0149,5
uci144-row-0150,2
uci144-row-0151,3
uci144-row-0152,5
uci144-row-0153,1
uci144-row-0154,4
uci144-row-0155,2
uci144-row-0156,1
uci144-row-0157,2
uci144-row-0158,2
uci144-row-0159,1
uci144-row-0161,3
uci144-row-0162,1
uci144-row-0163,5
uci144-row-0164,3
uci144-row-0165,4
uci144-row-0166,1
uci144-row-0169,5
uci144-row-0170,5
uci144-row-0171,1
uci144-row-0173,3
uci144-row-0174,1
uci144-row-0175,2
uci144-row-0176,4
uci144-row-0177,2
uci144-row-0178,4
uci144-row-0180,1
uci144-row-0181,5
uci144-row-0182,5
uci144-row-0184,3
uci144-row-0185,5
uci144-row-0186,2
uci144-row-0187,4
uci144-row-0189,4
uci144-row-0190,1
uci144-row-0192,2
uci144-row-0194,3
uci144-row-0196,4
uci144-row-0197,4
uci144-row-0198,1
uci144-row-0199,1
uci144-row-0201,4
uci144-row-0202,5
uci144-row-0203,5
uci144-row-0204,5
uci144-row-0205,1
uci144-row-0206,1
uci144-row-0207,3
uci144-row-0208,1
uci144-row-0209,4
uci144-row-0210,3
uci144-row-0211,3
uci144-row-0212,3
uci144-row-0213,3
uci144-row-0214,1
uci144-row-0215,1
uci144-row-0216,2
uci144-row-0218,2
uci144-row-0219,4
uci144-row-0223,1
uci144-row-0224,3
uci144-row-0225,3
uci144-row-0226,5
uci144-row-0227,5
uci144-row-0228,4
uci144-row-0231,3
uci144-row-0232,3
uci144-row-0233,3
uci144-row-0234,2
uci144-row-0238,2
uci144-row-0239,4
uci144-row-0240,1
uci144-row-0241,5
uci144-row-0242,4
uci144-row-0243,3
uci144-row-0244,1
uci144-row-0245,1
uci144-row-0246,2
uci144-row-0247,5
uci144-row-0248,2
uci144-row-0249,5
uci144-row-0250,2
uci144-row-0251,4
uci144-row-0252,5
uci144-row-0253,1
uci144-row-0254,2
uci144-row-0255,4
uci144-row-0256,2
uci144-row-0257,5
uci144-row-0259,2
uci144-row-0261,4
uci144-row-0263,1
uci144-row-0265,5
uci144-row-0266,1
uci144-row-0267,5
uci144-row-0268,3
uci144-row-0269,3
uci144-row-0270,3
uci144-row-0271,2
uci144-row-0272,2
uci144-row-0273,4
uci144-row-0275,2
uci144-row-0276,4
uci144-row-0279,3
uci144-row-0280,3
uci144-row-0281,4
uci144-row-0282,3
uci144-row-0285,4
uci144-row-0286,4
uci144-row-0287,5
uci144-row-0288,4
uci144-row-0289,2
uci144-row-0291,2
uci144-row-0292,1
uci144-row-0293,4
uci144-row-0295,3
uci144-row-0296,3
uci144-row-0299,5
uci144-row-0300,1
uci144-row-0301,4
uci144-row-0302,3
uci144-row-0303,4
uci144-row-0304,1
uci144-row-0306,3
uci144-row-0307,5
uci144-row-0308,2
uci144-row-0310,4
uci144-row-0311,3
uci144-row-0312,3
uci144-row-0313,5
uci144-row-0314,2
uci144-row-0315,4
uci144-row-0316,2
uci144-row-0317,1
uci144-row-0319,5
uci144-row-0320,3
uci144-row-0321,1
uci144-row-0322,1
uci144-row-0323,3
uci144-row-0324,1
uci144-row-0325,4
uci144-row-0326,2
uci144-row-0327,3
uci144-row-0328,5
uci144-row-0329,3
uci144-row-0332,3
uci144-row-0333,1
uci144-row-0334,5
uci144-row-0335,4
uci144-row-0336,5
uci144-row-0340,2
uci144-row-0341,2
uci144-row-0342,3
uci144-row-0343,4
uci144-row-0344,2
uci144-row-0345,1
uci144-row-0346,2
uci144-row-0349,2
uci144-row-0350,5
uci144-row-0351,2
uci144-row-0352,5
uci144-row-0353,5
uci144-row-0355,3
uci144-row-0357,1
uci144-row-0358,1
uci144-row-0359,3
uci144-row-0360,2
uci144-row-0361,1
uci144-row-0362,1
uci144-row-0363,5
uci144-row-0364,1
uci144-row-0365,5
uci144-row-0366,5
uci144-row-0367,3
uci144-row-0368,5
uci144-row-0369,3
uci144-row-0370,5
uci144-row-0371,5
uci144-row-0372,4
uci144-row-0375,5
uci144-row-0377,1
uci144-row-0378,2
uci144-row-0379,2
uci144-row-0381,3
uci144-row-0382,1
uci144-row-0383,1
uci144-row-0385,1
uci144-row-0386,4
uci144-row-0387,3
uci144-row-0388,5
uci144-row-0389,1
uci144-row-0390,2
uci144-row-0391,1
uci144-row-0392,2
uci144-row-0393,3
uci144-row-0394,4
uci144-row-0395,3
uci144-row-0397,1
uci144-row-0398,1
uci144-row-0399,1
uci144-row-0400,5
uci144-row-0401,4
uci144-row-0402,1
uci144-row-0403,1
uci144-row-0404,4
uci144-row-0406,5
uci144-row-0407,4
uci144-row-0408,1
uci144-row-0409,2
uci144-row-0410,4
uci144-row-0411,3
uci144-row-0412,5
uci144-row-0414,1
uci144-row-0415,2
uci144-row-0416,4
uci144-row-0417,5
uci144-row-0418,5
uci144-row-0419,1
uci144-row-0420,1
