metric,outer_fold_mean,outer_fold_sample_sd
roc_auc,0.7784040178571429,0.03516815668239318
average_precision,0.574763444632509,0.08019634764250642
precision_bad_credit_risk,0.5810984697215591,0.12091414630159433
recall_bad_credit_risk,0.4208333333333334,0.1497973167687296
f1_bad_credit_risk,0.48462452192301175,0.14427312334497758
balanced_accuracy,0.649702380952381,0.0770841951597345
brier_score,0.1710576047971976,0.016601368720126203
accuracy,0.74125,0.04893394782765848
total_cost,152.6,36.37719065568423
average_cost,0.95375,0.2273574415980264
