metric,untuned_stage4_xgboost,nested_tuned_stage5_xgboost,absolute_difference
roc_auc,0.7809821428571428,0.7735974702380953,0.0073846726190475165
average_precision,0.5817821927158534,0.567362258873288,0.014419933842565458
precision_bad_credit_risk,0.612565445026178,0.5976331360946746,0.014932308931503435
recall_bad_credit_risk,0.4875,0.42083333333333334,0.06666666666666665
f1_bad_credit_risk,0.54292343387471,0.4938875305623472,0.049035903312362794
balanced_accuracy,0.6776785714285715,0.649702380952381,0.027976190476190488
brier_score,0.1708740099430572,0.1710576047971976,0.00018359485414037868
accuracy,0.75375,0.74125,0.012500000000000067
true_negative,486.0,492.0,6.0
false_positive,74.0,68.0,6.0
false_negative,123.0,139.0,16.0
true_positive,117.0,101.0,16.0
total_cost,689.0,763.0,74.0
average_cost,0.86125,0.95375,0.09250000000000003
