outer_fold,selected_calibration_method,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost,selected_threshold
1,isotonic,0.05,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.3144758735440932,0.984375,0.4766708701134931,0.5323660714285714,0.08035714285714286,0.3515625,36,412,3,189,427,0.6671875,False
1,isotonic,0.06,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.32088285229202035,0.984375,0.4839948783610755,0.5457589285714286,0.10714285714285714,0.3703125,48,400,3,189,415,0.6484375,False
1,isotonic,0.07,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.32358003442340794,0.9791666666666666,0.48641655886157825,0.5509672619047619,0.12276785714285714,0.3796875,55,393,4,188,413,0.6453125,False
1,isotonic,0.08,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.3280701754385965,0.9739583333333334,0.49081364829396323,0.5595238095238095,0.14508928571428573,0.39375,65,383,5,187,408,0.6375,False
1,isotonic,0.09,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.33273703041144903,0.96875,0.49533954727030627,0.5680803571428571,0.16741071428571427,0.4078125,75,373,6,186,403,0.6296875,False
1,isotonic,0.1,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.3375912408759124,0.9635416666666666,0.5,0.5766369047619048,0.18973214285714285,0.421875,85,363,7,185,398,0.621875,False
1,isotonic,0.11,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.34328358208955223,0.9583333333333334,0.5054945054945055,0.5863095238095238,0.21428571428571427,0.4375,96,352,8,184,392,0.6125,False
1,isotonic,0.12,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.34535104364326374,0.9479166666666666,0.5062586926286509,0.5889136904761905,0.22991071428571427,0.4453125,103,345,10,182,395,0.6171875,False
1,isotonic,0.13,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.35039370078740156,0.9270833333333334,0.5085714285714286,0.5952380952380952,0.26339285714285715,0.4625,118,330,14,178,400,0.625,False
1,isotonic,0.14,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.3575757575757576,0.921875,0.5152838427947598,0.6060267857142857,0.29017857142857145,0.4796875,130,318,15,177,393,0.6140625,False
1,isotonic,0.15,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.3668763102725367,0.9114583333333334,0.523168908819133,0.6186755952380952,0.32589285714285715,0.5015625,146,302,17,175,387,0.6046875,False
1,isotonic,0.16,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.36616702355460384,0.890625,0.5189681335356601,0.6149553571428572,0.3392857142857143,0.5046875,152,296,21,171,401,0.6265625,False
1,isotonic,0.17,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.378076062639821,0.8802083333333334,0.5289514866979655,0.6298363095238095,0.3794642857142857,0.5296875,170,278,23,169,393,0.6140625,False
1,isotonic,0.18,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.3870967741935484,0.875,0.536741214057508,0.640625,0.40625,0.546875,182,266,24,168,386,0.603125,False
1,isotonic,0.19,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.39429928741092635,0.8645833333333334,0.5415986949429038,0.6476934523809524,0.43080357142857145,0.5609375,193,255,26,166,385,0.6015625,False
1,isotonic,0.2,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.41102756892230574,0.8541666666666666,0.5549915397631133,0.6648065476190476,0.47544642857142855,0.5890625,213,235,28,164,375,0.5859375,True
1,isotonic,0.21,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.4140625,0.828125,0.5520833333333334,0.6629464285714286,0.49776785714285715,0.596875,223,225,33,159,390,0.609375,False
1,isotonic,0.22,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.4186666666666667,0.8177083333333334,0.5537918871252204,0.6655505952380952,0.5133928571428571,0.6046875,230,218,35,157,393,0.6140625,False
1,isotonic,0.23,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.41689373297002724,0.796875,0.5474060822898033,0.6595982142857143,0.5223214285714286,0.6046875,234,214,39,153,409,0.6390625,False
1,isotonic,0.24,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.43859649122807015,0.78125,0.5617977528089888,0.6763392857142857,0.5714285714285714,0.634375,256,192,42,150,402,0.628125,False
1,isotonic,0.25,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.44477611940298506,0.7760416666666666,0.5654648956356736,0.6804315476190477,0.5848214285714286,0.6421875,262,186,43,149,401,0.6265625,False
1,isotonic,0.26,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.44785276073619634,0.7604166666666666,0.5637065637065637,0.6793154761904762,0.5982142857142857,0.646875,268,180,46,146,410,0.640625,False
1,isotonic,0.27,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.4524590163934426,0.71875,0.5553319919517102,0.6729910714285714,0.6272321428571429,0.6546875,281,167,54,138,437,0.6828125,False
1,isotonic,0.28,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.47183098591549294,0.6979166666666666,0.5630252100840336,0.6815476190476191,0.6651785714285714,0.675,298,150,58,134,440,0.6875,False
1,isotonic,0.29,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.48028673835125446,0.6979166666666666,0.5690021231422505,0.6871279761904762,0.6763392857142857,0.6828125,303,145,58,134,435,0.6796875,False
1,isotonic,0.3,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.4833948339483395,0.6822916666666666,0.5658747300215983,0.6848958333333333,0.6875,0.6859375,308,140,61,131,445,0.6953125,False
1,isotonic,0.31,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.48863636363636365,0.671875,0.5657894736842105,0.6852678571428572,0.6986607142857143,0.690625,313,135,63,129,450,0.703125,False
1,isotonic,0.32,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.4879032258064516,0.6302083333333334,0.55,0.6733630952380952,0.7165178571428571,0.690625,321,127,71,121,482,0.753125,False
1,isotonic,0.33,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5042016806722689,0.625,0.5581395348837209,0.6808035714285714,0.7366071428571429,0.703125,330,118,72,120,478,0.746875,False
1,isotonic,0.34,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5132743362831859,0.6041666666666666,0.5550239234449761,0.6793154761904762,0.7544642857142857,0.709375,338,110,76,116,490,0.765625,False
1,isotonic,0.35,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5255813953488372,0.5885416666666666,0.5552825552825553,0.6804315476190477,0.7723214285714286,0.7171875,346,102,79,113,497,0.7765625,False
1,isotonic,0.36,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5330188679245284,0.5885416666666666,0.5594059405940595,0.6837797619047619,0.7790178571428571,0.721875,349,99,79,113,494,0.771875,False
1,isotonic,0.37,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5410628019323671,0.5833333333333334,0.5614035087719298,0.6856398809523809,0.7879464285714286,0.7265625,353,95,80,112,495,0.7734375,False
1,isotonic,0.38,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5583756345177665,0.5729166666666666,0.5655526992287918,0.6893601190476191,0.8058035714285714,0.7359375,361,87,82,110,497,0.7765625,False
1,isotonic,0.39,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5614973262032086,0.546875,0.554089709762533,0.6819196428571428,0.8169642857142857,0.7359375,366,82,87,105,517,0.8078125,False
1,isotonic,0.4,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.569060773480663,0.5364583333333334,0.5522788203753352,0.6811755952380952,0.8258928571428571,0.7390625,370,78,89,103,523,0.8171875,False
1,isotonic,0.41,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5747126436781609,0.5208333333333334,0.546448087431694,0.6778273809523809,0.8348214285714286,0.740625,374,74,92,100,534,0.834375,False
1,isotonic,0.42,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.5875,0.4895833333333333,0.5340909090909091,0.6711309523809523,0.8526785714285714,0.74375,382,66,98,94,556,0.86875,False
1,isotonic,0.43,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6103896103896104,0.4895833333333333,0.5433526011560693,0.6778273809523809,0.8660714285714286,0.753125,388,60,98,94,550,0.859375,False
1,isotonic,0.44,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6216216216216216,0.4791666666666667,0.5411764705882353,0.6770833333333334,0.875,0.75625,392,56,100,92,556,0.86875,False
1,isotonic,0.45,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6357142857142857,0.4635416666666667,0.536144578313253,0.6748511904761905,0.8861607142857143,0.759375,397,51,103,89,566,0.884375,False
1,isotonic,0.46,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6240601503759399,0.4322916666666667,0.5107692307692308,0.6603422619047619,0.8883928571428571,0.7515625,398,50,109,83,595,0.9296875,False
1,isotonic,0.47,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6299212598425197,0.4166666666666667,0.5015673981191222,0.6558779761904762,0.8950892857142857,0.7515625,401,47,112,80,607,0.9484375,False
1,isotonic,0.48,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6311475409836066,0.4010416666666667,0.49044585987261147,0.6502976190476191,0.8995535714285714,0.75,403,45,115,77,620,0.96875,False
1,isotonic,0.49,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6186440677966102,0.3802083333333333,0.47096774193548385,0.6398809523809523,0.8995535714285714,0.74375,403,45,119,73,640,1.0,False
1,isotonic,0.5,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065,0.6296296296296297,0.3541666666666667,0.4533333333333333,0.6324404761904762,0.9107142857142857,0.74375,408,40,124,68,660,1.03125,False
2,isotonic,0.05,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.32033898305084746,0.984375,0.4833759590792839,0.5446428571428571,0.10491071428571429,0.36875,47,401,3,189,416,0.65,False
2,isotonic,0.06,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5520833333333333,0.125,0.38125,56,392,4,188,412,0.64375,False
2,isotonic,0.07,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.3303886925795053,0.9739583333333334,0.49340369393139843,0.5639880952380952,0.15401785714285715,0.4,69,379,5,187,404,0.63125,False
2,isotonic,0.08,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.33754512635379064,0.9739583333333334,0.5013404825737265,0.5773809523809524,0.18080357142857142,0.41875,81,367,5,187,392,0.6125,False
2,isotonic,0.09,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.34766355140186916,0.96875,0.5116918844566712,0.5948660714285714,0.22098214285714285,0.4453125,99,349,6,186,379,0.5921875,False
2,isotonic,0.1,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.3523809523809524,0.9635416666666666,0.5160390516039052,0.6023065476190476,0.24107142857142858,0.4578125,108,340,7,185,375,0.5859375,False
2,isotonic,0.11,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.3572815533980582,0.9583333333333334,0.5205091937765205,0.6097470238095238,0.2611607142857143,0.4703125,117,331,8,184,371,0.5796875,False
2,isotonic,0.12,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.364,0.9479166666666666,0.5260115606936416,0.6190476190476191,0.29017857142857145,0.4875,130,318,10,182,368,0.575,False
2,isotonic,0.13,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.37060041407867494,0.9322916666666666,0.5303703703703704,0.6268601190476191,0.32142857142857145,0.5046875,144,304,13,179,369,0.5765625,False
2,isotonic,0.14,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.37901498929336186,0.921875,0.5371775417298937,0.6372767857142857,0.35267857142857145,0.5234375,158,290,15,177,365,0.5703125,False
2,isotonic,0.15,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.3858093126385809,0.90625,0.5412130637636081,0.6439732142857143,0.38169642857142855,0.5390625,171,277,18,174,367,0.5734375,False
2,isotonic,0.16,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.3936651583710407,0.90625,0.5488958990536278,0.6540178571428572,0.4017857142857143,0.553125,180,268,18,174,358,0.559375,False
2,isotonic,0.17,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.40572792362768495,0.8854166666666666,0.5564648117839607,0.6648065476190476,0.44419642857142855,0.5765625,199,249,22,170,359,0.5609375,False
2,isotonic,0.18,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.41687344913151364,0.875,0.5647058823529412,0.6752232142857143,0.47544642857142855,0.5953125,213,235,24,168,355,0.5546875,True
2,isotonic,0.19,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.41919191919191917,0.8645833333333334,0.564625850340136,0.6755952380952381,0.48660714285714285,0.6,218,230,26,166,360,0.5625,False
2,isotonic,0.2,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.43007915567282323,0.8489583333333334,0.5709281961471103,0.6834077380952381,0.5178571428571429,0.6171875,232,216,29,163,361,0.5640625,False
2,isotonic,0.21,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.44021739130434784,0.84375,0.5785714285714286,0.6919642857142857,0.5401785714285714,0.63125,242,206,30,162,356,0.55625,False
2,isotonic,0.22,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.4425770308123249,0.8229166666666666,0.575591985428051,0.6893601190476191,0.5558035714285714,0.6359375,249,199,34,158,369,0.5765625,False
2,isotonic,0.23,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.4511494252873563,0.8177083333333334,0.5814814814814815,0.6956845238095238,0.5736607142857143,0.646875,257,191,35,157,366,0.571875,False
