calibration_method,bin,count,mean_predicted_probability,observed_bad_credit_risk_rate
none,1,80,0.01509274652635208,0.05
none,2,80,0.03518120832741256,0.0625
none,3,80,0.06846673232503231,0.0875
none,4,80,0.11399047803133722,0.2125
none,5,80,0.1709725836291909,0.2
none,6,80,0.2519184909760952,0.3125
none,7,80,0.3486281052231789,0.375
none,8,80,0.48648964129388333,0.45
none,9,80,0.6404202744364739,0.5875
none,10,80,0.8186516426503658,0.6625
sigmoid,1,80,0.11868855970931849,0.0625
sigmoid,2,80,0.13343161150636823,0.0375
sigmoid,3,80,0.14635030909335037,0.0875
sigmoid,4,80,0.17080958048114697,0.225
sigmoid,5,80,0.20795158136414002,0.225
sigmoid,6,80,0.2589429000203096,0.2125
sigmoid,7,80,0.32702724366866576,0.45
sigmoid,8,80,0.42254300768174274,0.425
sigmoid,9,80,0.5478561809867308,0.5625
sigmoid,10,80,0.6826843302639773,0.7125
isotonic,1,80,0.021997886727331207,0.0375
isotonic,2,80,0.06898064267152222,0.05
isotonic,3,80,0.12057327839429491,0.1375
isotonic,4,80,0.17778857534285636,0.225
isotonic,5,80,0.23288651782786474,0.175
isotonic,6,80,0.29833897314965724,0.275
isotonic,7,80,0.36642744173295794,0.3625
isotonic,8,80,0.4476154059637338,0.5
isotonic,9,80,0.5534941791091115,0.575
isotonic,10,80,0.7410242287442088,0.6625
