threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost,selected_threshold
0.05,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3,1.0,0.46153846153846156,0.5,0.0,0.3,0,560,0,240,560,0.7,False
0.06,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3,1.0,0.46153846153846156,0.5,0.0,0.3,0,560,0,240,560,0.7,False
0.07,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3,1.0,0.46153846153846156,0.5,0.0,0.3,0,560,0,240,560,0.7,False
0.08,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3,1.0,0.46153846153846156,0.5,0.0,0.3,0,560,0,240,560,0.7,False
0.09,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3,1.0,0.46153846153846156,0.5,0.0,0.3,0,560,0,240,560,0.7,False
0.1,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3,1.0,0.46153846153846156,0.5,0.0,0.3,0,560,0,240,560,0.7,False
0.11,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.30395913154533843,0.9916666666666667,0.46529814271749753,0.5092261904761904,0.026785714285714284,0.31625,15,545,2,238,555,0.69375,False
0.12,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3105263157894737,0.9833333333333333,0.472,0.5238095238095237,0.06428571428571428,0.34,36,524,4,236,544,0.68,False
0.13,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.33428165007112376,0.9791666666666666,0.4984093319194062,0.5717261904761904,0.16428571428571428,0.40875,92,468,5,235,493,0.61625,False
0.14,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.36477987421383645,0.9666666666666667,0.5296803652968036,0.6226190476190476,0.2785714285714286,0.485,156,404,8,232,444,0.555,False
0.15,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.3927958833619211,0.9541666666666667,0.5565006075334143,0.6610119047619047,0.3678571428571429,0.54375,206,354,11,229,409,0.51125,False
0.16,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.4117647058823529,0.9333333333333333,0.5714285714285714,0.680952380952381,0.42857142857142855,0.58,240,320,16,224,400,0.5,True
0.17,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.41603053435114506,0.9083333333333333,0.5706806282722513,0.680952380952381,0.45357142857142857,0.59,254,306,22,218,416,0.52,False
0.18,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.4288577154308617,0.8916666666666667,0.5791610284167794,0.6913690476190476,0.49107142857142855,0.61125,275,285,26,214,415,0.51875,False
0.19,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.43248945147679324,0.8541666666666666,0.5742296918767507,0.6869047619047619,0.5196428571428572,0.62,291,269,35,205,444,0.555,False
0.2,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.44052863436123346,0.8333333333333334,0.5763688760806917,0.6898809523809524,0.5464285714285714,0.6325,306,254,40,200,454,0.5675,False
0.21,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.44545454545454544,0.8166666666666667,0.5764705882352941,0.6904761904761905,0.5642857142857143,0.64,316,244,44,196,464,0.58,False
0.22,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.46246973365617433,0.7958333333333333,0.5849923430321593,0.6997023809523809,0.6035714285714285,0.66125,338,222,49,191,467,0.58375,False
0.23,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.4760705289672544,0.7875,0.5934065934065934,0.7080357142857143,0.6285714285714286,0.67625,352,208,51,189,463,0.57875,False
0.24,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.48320413436692505,0.7791666666666667,0.5964912280701754,0.7110119047619048,0.6428571428571429,0.68375,360,200,53,187,465,0.58125,False
0.25,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.4879356568364611,0.7583333333333333,0.5938009787928222,0.7086309523809524,0.6589285714285714,0.68875,369,191,58,182,481,0.60125,False
0.26,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.4986149584487535,0.75,0.5990016638935108,0.7133928571428572,0.6767857142857143,0.69875,379,181,60,180,481,0.60125,False
0.27,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5058139534883721,0.725,0.5958904109589042,0.7107142857142856,0.6964285714285714,0.705,390,170,66,174,500,0.625,False
0.28,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5288753799392097,0.725,0.6115992970123023,0.7241071428571428,0.7232142857142857,0.72375,405,155,66,174,485,0.60625,False
0.29,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5391849529780565,0.7166666666666667,0.6153846153846154,0.7270833333333333,0.7375,0.73125,413,147,68,172,487,0.60875,False
0.3,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.540453074433657,0.6958333333333333,0.6083788706739527,0.7211309523809524,0.7464285714285714,0.73125,418,142,73,167,507,0.63375,False
0.31,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.54421768707483,0.6666666666666666,0.599250936329588,0.7136904761904761,0.7607142857142857,0.7325,426,134,80,160,534,0.6675,False
0.32,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.549645390070922,0.6458333333333334,0.5938697318007663,0.7095238095238096,0.7732142857142857,0.735,433,127,85,155,552,0.69,False
0.33,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5490909090909091,0.6291666666666667,0.5864077669902913,0.7038690476190477,0.7785714285714286,0.73375,436,124,89,151,569,0.71125,False
0.34,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5617977528089888,0.625,0.591715976331361,0.7080357142857143,0.7910714285714285,0.74125,443,117,90,150,567,0.70875,False
0.35,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5598455598455598,0.6041666666666666,0.5811623246492986,0.700297619047619,0.7964285714285714,0.73875,446,114,95,145,589,0.73625,False
0.36,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5604838709677419,0.5791666666666667,0.569672131147541,0.6922619047619047,0.8053571428571429,0.7375,451,109,101,139,614,0.7675,False
0.37,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5661157024793388,0.5708333333333333,0.5684647302904564,0.6916666666666667,0.8125,0.74,455,105,103,137,620,0.775,False
0.38,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5764192139737991,0.55,0.5628997867803838,0.6883928571428571,0.8267857142857142,0.74375,463,97,108,132,637,0.79625,False
0.39,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.593607305936073,0.5416666666666666,0.5664488017429193,0.6913690476190476,0.8410714285714286,0.75125,471,89,110,130,639,0.79875,False
0.4,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5953488372093023,0.5333333333333333,0.5626373626373626,0.6889880952380952,0.8446428571428571,0.75125,473,87,112,128,647,0.80875,False
0.41,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5913461538461539,0.5125,0.5491071428571429,0.6803571428571429,0.8482142857142857,0.7475,475,85,117,123,670,0.8375,False
0.42,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.5960591133004927,0.5041666666666667,0.54627539503386,0.6788690476190475,0.8535714285714285,0.74875,478,82,119,121,677,0.84625,False
0.43,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6134020618556701,0.49583333333333335,0.5483870967741935,0.680952380952381,0.8660714285714286,0.755,485,75,121,119,680,0.85,False
0.44,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6270270270270271,0.48333333333333334,0.5458823529411765,0.6800595238095238,0.8767857142857143,0.75875,491,69,124,116,689,0.86125,False
0.45,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6318681318681318,0.4791666666666667,0.5450236966824644,0.6797619047619048,0.8803571428571428,0.76,493,67,125,115,692,0.865,False
0.46,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6285714285714286,0.4583333333333333,0.5301204819277109,0.6711309523809523,0.8839285714285714,0.75625,495,65,130,110,715,0.89375,False
0.47,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6309523809523809,0.44166666666666665,0.5196078431372549,0.6654761904761904,0.8892857142857142,0.755,498,62,134,106,732,0.915,False
0.48,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6358024691358025,0.42916666666666664,0.5124378109452736,0.6619047619047619,0.8946428571428572,0.755,501,59,137,103,744,0.93,False
0.49,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.643312101910828,0.42083333333333334,0.5088161209068011,0.6604166666666667,0.9,0.75625,504,56,139,101,751,0.93875,False
0.5,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6527777777777778,0.39166666666666666,0.4895833333333333,0.6511904761904762,0.9107142857142857,0.755,510,50,146,94,780,0.975,False
