audit_attribute,model_feature,association_method,association_value
personal_status_sex,purpose,cramers_v,0.1627933179911981
personal_status_sex,credit_history,cramers_v,0.10284940990309399
personal_status_sex,savings_account_status,cramers_v,0.059972708560424005
personal_status_sex,checking_account_status,cramers_v,0.0588919961538041
personal_status_sex,employment_duration,cramers_v,0.15851482566526018
age_years,purpose,correlation_ratio_eta,0.17061329674816603
age_years,credit_history,correlation_ratio_eta,0.15566602174471547
age_years,savings_account_status,correlation_ratio_eta,0.11010500563217307
age_years,checking_account_status,correlation_ratio_eta,0.06335266340440465
age_years,employment_duration,correlation_ratio_eta,0.39901941215070275
foreign_worker,purpose,cramers_v,0.17068688164837095
foreign_worker,credit_history,cramers_v,0.07662269830065442
foreign_worker,savings_account_status,cramers_v,0.04998796802462843
foreign_worker,checking_account_status,cramers_v,0.11716345483406601
foreign_worker,employment_duration,cramers_v,0.08219426339591115
