encoded_feature,original_feature,members_present,mean_absolute_shap,sd_member_mean_absolute_shap,signed_mean_shap,median_absolute_shap,members_absent
categorical__purpose_A41,purpose,5,0.579082571297884,0.13708406935562875,-0.579082571297884,0.5805031478404998,0
categorical__purpose_A46,purpose,5,0.5336046398803591,0.24851310283098307,0.5336046398803591,0.5428087711334229,0
categorical__checking_account_status_A14,checking_account_status,5,0.5213411718681454,0.08785687843136253,-0.5213411718681454,0.5221739768981933,0
categorical__credit_history_A30,credit_history,5,0.368254449814558,0.10365814907458647,0.368254449814558,0.3832562744617462,0
categorical__savings_account_status_A64,savings_account_status,5,0.357958362840116,0.043801465835316786,-0.357958362840116,0.3644812047481537,0
numerical__credit_amount,credit_amount,5,0.30845980404081635,0.025521169480106326,-0.0999264422710694,0.2619623467326164,0
numerical__duration_months,duration_months,5,0.30182237989117855,0.06508844944347122,-0.04432446178689133,0.25349182188510894,0
categorical__other_installment_plans_A141,other_installment_plans,5,0.30167931885644794,0.11542316829697455,0.30167931885644794,0.30216305553913114,0
categorical__other_debtors_guarantors_A103,other_debtors_guarantors,5,0.28163933572918176,0.16406286659703703,-0.28163933572918176,0.2862641304731369,0
categorical__employment_duration_A72,employment_duration,5,0.2501482487991452,0.015352283337325242,0.2501482487991452,0.24329408407211303,0
categorical__savings_account_status_A65,savings_account_status,5,0.24975781485997137,0.08511738943731298,-0.24975781485997137,0.24092151522636412,0
categorical__other_debtors_guarantors_A102,other_debtors_guarantors,5,0.24672100179456175,0.1865716100505084,0.24672100179456175,0.24479440748691558,0
categorical__employment_duration_A74,employment_duration,5,0.24597929907217622,0.12535810378116308,-0.24597929907217622,0.24793321043252944,0
categorical__credit_history_A34,credit_history,5,0.2445453844484582,0.1107328525071684,-0.24284332180445198,0.24757133424282074,0
categorical__purpose_A40,purpose,5,0.22097360664606094,0.06205439976555125,0.22097360664606094,0.21693785190582277,0
categorical__purpose_A45,purpose,5,0.20436239616200327,0.20696127378664297,0.20046066419407724,0.20695600509643555,0
categorical__property_A124,property,5,0.18472399543225765,0.10645269446812033,0.18472399543225765,0.18202833086252213,0
