original_feature,mean_rank,sd_rank,minimum_rank,maximum_rank
purpose,1.0,0.0,1.0,1.0
credit_history,3.0,1.224744871391589,2.0,5.0
savings_account_status,3.2,1.3038404810405297,2.0,5.0
checking_account_status,3.4,0.8944271909999159,2.0,4.0
employment_duration,5.2,0.8366600265340756,4.0,6.0
other_debtors_guarantors,6.6,2.073644135332772,3.0,8.0
installment_rate_percent,8.6,3.209361307176242,5.0,13.0
other_installment_plans,8.8,2.7748873851023212,6.0,13.0
credit_amount,9.8,1.7888543819998317,7.0,11.0
property,10.0,3.6742346141747673,6.0,15.0
duration_months,10.0,1.5811388300841895,8.0,12.0
residence_duration,11.8,1.9235384061671346,9.0,14.0
housing,12.2,2.4899799195977463,8.0,14.0
job,13.0,3.24037034920393,9.0,16.0
existing_credits_count,14.0,1.5811388300841895,12.0,16.0
telephone,15.4,0.8944271909999161,14.0,16.0
dependents_count,17.0,0.0,17.0,17.0
