error_group,feature,category,n,within_group_fraction
true_positive,purpose,A40,65,0.2968036529680365
true_positive,purpose,A42,44,0.2009132420091324
true_positive,purpose,A43,39,0.1780821917808219
true_positive,purpose,A49,25,0.1141552511415525
true_positive,purpose,A46,20,0.091324200913242
true_positive,purpose,A41,14,0.0639269406392694
true_positive,purpose,A45,6,0.0273972602739726
true_positive,purpose,A44,3,0.0136986301369863
true_positive,purpose,A410,2,0.0091324200913242
true_positive,purpose,A48,1,0.0045662100456621
true_positive,credit_history,A32,124,0.5662100456621004
true_positive,credit_history,A34,36,0.1643835616438356
true_positive,credit_history,A33,20,0.091324200913242
true_positive,credit_history,A31,20,0.091324200913242
true_positive,credit_history,A30,19,0.0867579908675799
true_positive,savings_account_status,A61,166,0.7579908675799086
true_positive,savings_account_status,A62,29,0.1324200913242009
true_positive,savings_account_status,A65,15,0.0684931506849315
true_positive,savings_account_status,A63,5,0.0228310502283105
true_positive,savings_account_status,A64,4,0.0182648401826484
true_positive,checking_account_status,A11,102,0.4657534246575342
true_positive,checking_account_status,A12,82,0.3744292237442922
true_positive,checking_account_status,A14,24,0.1095890410958904
true_positive,checking_account_status,A13,11,0.0502283105022831
true_positive,employment_duration,A73,68,0.3105022831050228
true_positive,employment_duration,A72,61,0.2785388127853881
true_positive,employment_duration,A75,46,0.2100456621004566
true_positive,employment_duration,A74,30,0.136986301369863
true_positive,employment_duration,A71,14,0.0639269406392694
true_negative,purpose,A43,89,0.39732142857142855
true_negative,purpose,A40,49,0.21875
true_negative,purpose,A41,36,0.16071428571428573
true_negative,purpose,A42,23,0.10267857142857142
true_negative,purpose,A49,14,0.0625
true_negative,purpose,A46,5,0.022321428571428572
true_negative,purpose,A45,4,0.017857142857142856
true_negative,purpose,A44,3,0.013392857142857142
true_negative,purpose,A48,1,0.004464285714285714
true_negative,credit_history,A34,118,0.5267857142857143
true_negative,credit_history,A32,97,0.4330357142857143
true_negative,credit_history,A33,8,0.03571428571428571
true_negative,credit_history,A30,1,0.004464285714285714
true_negative,savings_account_status,A61,97,0.4330357142857143
true_negative,savings_account_status,A65,68,0.30357142857142855
true_negative,savings_account_status,A63,22,0.09821428571428571
true_negative,savings_account_status,A64,19,0.08482142857142858
true_negative,savings_account_status,A62,18,0.08035714285714286
true_negative,checking_account_status,A14,177,0.7901785714285714
true_negative,checking_account_status,A12,23,0.10267857142857142
true_negative,checking_account_status,A11,14,0.0625
true_negative,checking_account_status,A13,10,0.044642857142857144
true_negative,employment_duration,A75,74,0.33035714285714285
true_negative,employment_duration,A73,73,0.32589285714285715
true_negative,employment_duration,A74,56,0.25
true_negative,employment_duration,A72,14,0.0625
true_negative,employment_duration,A71,7,0.03125
false_positive,purpose,A43,80,0.23809523809523808
false_positive,purpose,A42,77,0.22916666666666666
false_positive,purpose,A40,75,0.22321428571428573
false_positive,purpose,A49,39,0.11607142857142858
false_positive,purpose,A41,32,0.09523809523809523
false_positive,purpose,A46,15,0.044642857142857144
false_positive,purpose,A45,7,0.020833333333333332
false_positive,purpose,A410,4,0.011904761904761904
false_positive,purpose,A44,4,0.011904761904761904
false_positive,purpose,A48,3,0.008928571428571428
false_positive,credit_history,A32,185,0.5505952380952381
false_positive,credit_history,A34,80,0.23809523809523808
false_positive,credit_history,A33,41,0.12202380952380952
false_positive,credit_history,A31,19,0.05654761904761905
false_positive,credit_history,A30,11,0.03273809523809524
false_positive,savings_account_status,A61,205,0.6101190476190477
false_positive,savings_account_status,A65,52,0.15476190476190477
false_positive,savings_account_status,A62,42,0.125
false_positive,savings_account_status,A63,20,0.05952380952380952
false_positive,savings_account_status,A64,17,0.050595238095238096
false_positive,checking_account_status,A12,107,0.31845238095238093
false_positive,checking_account_status,A14,101,0.3005952380952381
false_positive,checking_account_status,A11,100,0.2976190476190476
false_positive,checking_account_status,A13,28,0.08333333333333333
false_positive,employment_duration,A73,123,0.36607142857142855
false_positive,employment_duration,A75,78,0.23214285714285715
false_positive,employment_duration,A72,66,0.19642857142857142
false_positive,employment_duration,A74,52,0.15476190476190477
false_positive,employment_duration,A71,17,0.050595238095238096
false_negative,purpose,A43,7,0.3333333333333333
false_negative,purpose,A42,5,0.23809523809523808
false_negative,purpose,A40,5,0.23809523809523808
false_negative,purpose,A41,2,0.09523809523809523
false_negative,purpose,A45,1,0.047619047619047616
false_negative,purpose,A49,1,0.047619047619047616
false_negative,credit_history,A32,10,0.47619047619047616
false_negative,credit_history,A34,6,0.2857142857142857
false_negative,credit_history,A33,3,0.14285714285714285
false_negative,credit_history,A31,2,0.09523809523809523
false_negative,savings_account_status,A65,9,0.42857142857142855
false_negative,savings_account_status,A61,7,0.3333333333333333
false_negative,savings_account_status,A63,3,0.14285714285714285
false_negative,savings_account_status,A64,1,0.047619047619047616
false_negative,savings_account_status,A62,1,0.047619047619047616
false_negative,checking_account_status,A14,14,0.6666666666666666
false_negative,checking_account_status,A11,3,0.14285714285714285
false_negative,checking_account_status,A12,2,0.09523809523809523
false_negative,checking_account_status,A13,2,0.09523809523809523
false_negative,employment_duration,A75,8,0.38095238095238093
false_negative,employment_duration,A73,7,0.3333333333333333
false_negative,employment_duration,A71,3,0.14285714285714285
false_negative,employment_duration,A72,2,0.09523809523809523
false_negative,employment_duration,A74,1,0.047619047619047616
