rank,original_feature,mean_absolute_shap,sd_member_mean_absolute_shap,min_member_mean_absolute_shap,max_member_mean_absolute_shap,signed_mean_shap
1,purpose,1.7619137833608547,0.5752577562154995,1.1582166337012314,2.6466543960868147,0.3692404570115032
2,credit_history,0.9349769405253756,0.14324700669973153,0.7889974176928809,1.0889862595984596,0.3669115418574366
3,savings_account_status,0.8932069303377066,0.14734022417923268,0.723026430986356,1.1078413540264591,-0.4946895966210868
4,checking_account_status,0.8810273422680911,0.05706097463583948,0.8180098136959714,0.9588200198858976,-0.36350629215157826
5,employment_duration,0.6555453017864493,0.08424801142452885,0.5932737765912316,0.8022443781228503,0.02870510632666992
6,other_debtors_guarantors,0.5372024727420357,0.30303739039632677,0.30962018524107404,1.0483482045657002,-0.03046451043584965
7,installment_rate_percent,0.40636449519189777,0.19679139152883596,0.19705198376002955,0.629103963742964,0.04754178158933064
8,other_installment_plans,0.4030829364932142,0.12150582865579738,0.271662251791422,0.5677034383639693,0.20879033610410985
9,property,0.35673513217116126,0.15671240011475385,0.22054873053668417,0.5541108480308321,0.09310744576258004
10,credit_amount,0.30845980404081635,0.025521169480106326,0.2891660100290028,0.35208058095420713,-0.0999264422710694
11,duration_months,0.30182237989117855,0.06508844944347122,0.21311423756182193,0.3945551352761686,-0.04432446178689133
12,residence_duration,0.2389655113661429,0.07475696600684996,0.13941478143096903,0.34513938161428087,0.05428989747574087
13,housing,0.23330031724041325,0.11402010584974778,0.13839908481691965,0.41946191370945596,0.10576598489785101
14,existing_credits_count,0.18702722967992305,0.05930053850107537,0.1106896767183207,0.2669000987196341,0.01098076752742054
15,job,0.17367347858624999,0.13188856809401828,0.046250164881930685,0.32241024398012086,-0.046455679853330364
16,telephone,0.09017650255735497,0.036272993905488056,0.04361036463524215,0.1226759349781787,0.06114824551611673
17,dependents_count,0.025286519590736134,0.007373001584572531,0.016136104795878056,0.03187030285742367,0.0058259694815205884
