audit_attribute,group,n,bad_risk_n,good_risk_n,bad_risk_prevalence,mean_predicted_bad_risk_probability,predicted_positive_rate_at_0_16,precision,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,balanced_accuracy,brier_score
personal_status_sex,A91 — male: divorced/separated,41,17,24,0.4146341463414634,0.3212740303166893,0.7560975609756098,0.5161290322580645,0.9411764705882353,0.375,0.625,0.058823529411764705,0.6580882352941176,0.217664227031282
personal_status_sex,A92 — female: divorced/separated/married,249,89,160,0.357429718875502,0.3192280492135326,0.7389558232931727,0.44565217391304346,0.9213483146067416,0.3625,0.6375,0.07865168539325842,0.6419241573033708,0.19338324290593
personal_status_sex,A93 — male: single,430,112,318,0.26046511627906976,0.29240494441706955,0.6627906976744186,0.35789473684210527,0.9107142857142857,0.42452830188679247,0.5754716981132075,0.08928571428571429,0.667621293800539,0.1507161839238653
personal_status_sex,A94 — male: married/widowed,80,22,58,0.275,0.276454091713093,0.6875,0.34545454545454546,0.8636363636363636,0.3793103448275862,0.6206896551724138,0.13636363636363635,0.6214733542319749,0.1597795461167087
personal_status_sex,A95 — female: single,0,0,0,,,,,,,,,,
age_band,under 25,110,42,68,0.38181818181818183,0.3636228382275211,0.8272727272727273,0.43956043956043955,0.9523809523809523,0.25,0.75,0.047619047619047616,0.6011904761904762,0.22275508683027098
age_band,25–34,333,109,224,0.32732732732732733,0.3102197265540003,0.7417417417417418,0.4089068825910931,0.926605504587156,0.3482142857142857,0.6517857142857143,0.07339449541284404,0.6374098951507208,0.17531633133772032
age_band,35–44,204,47,157,0.23039215686274508,0.2664763919181747,0.6323529411764706,0.3333333333333333,0.9148936170212766,0.45222929936305734,0.5477707006369427,0.0851063829787234,0.683561458192167,0.14107855983859247
age_band,45–54,95,22,73,0.23157894736842105,0.26267871910445545,0.5368421052631579,0.37254901960784315,0.8636363636363636,0.5616438356164384,0.4383561643835616,0.13636363636363635,0.7126400996264011,0.12831365876619144
age_band,55+,58,20,38,0.3448275862068966,0.30850223310001545,0.6379310344827587,0.43243243243243246,0.8,0.4473684210526316,0.5526315789473685,0.2,0.6236842105263158,0.18644417054838242
foreign_worker,A201 — yes,769,237,532,0.3081924577373212,0.30441822225062626,0.7022106631989596,0.4,0.9113924050632911,0.39097744360902253,0.6090225563909775,0.08860759493670886,0.6511849243361568,0.1717773962561996
foreign_worker,A202 — no,31,3,28,0.0967741935483871,0.20686645234869808,0.4838709677419355,0.2,1.0,0.5714285714285714,0.42857142857142855,0.0,0.7857142857142857,0.0829085757238849
